Pressione, Can A, Raccolta #4
Tempo ( s )	Pressione ( kPa )
59,1000	-0,05860
59,2000	-0,05371
59,3000	-0,05860
59,4000	-0,05371
59,5000	-0,05860
59,6000	-0,05371
59,7000	-0,05860
59,8000	-0,05371
59,9000	-0,05860
60,0000	-0,05371
60,1000	-0,05860
60,2000	-0,05371
60,3000	-0,05860
60,4000	-0,05371
60,5000	-0,05860
60,6000	-0,05860
60,7000	-0,05860
60,8000	-0,04883
60,9000	-0,05860
61,0000	-0,05371
61,1000	-0,05860
61,2000	-0,05371
61,3000	-0,05860
61,4000	-0,05371
61,5000	-0,05860
61,6000	-0,05371
61,7000	-0,05860
61,8000	-0,05860
61,9000	-0,05860
62,0000	-0,05371
62,1000	-0,05860
62,2000	-0,05371
62,3000	-0,05860
62,4000	-0,06348
62,5000	-0,05860
62,6000	-0,05371
62,7000	-0,05860
62,8000	-0,05371
62,9000	-0,05860
63,0000	-0,04883
63,1000	-0,05860
63,2000	-0,05371
63,3000	-0,05860
63,4000	-0,05371
63,5000	-0,05860
63,6000	-0,04883
63,7000	-0,05860
63,8000	-0,05371
63,9000	-0,05860
64,0000	-0,05371
64,1000	-0,05860
64,2000	-0,05371
64,3000	-0,05860
64,4000	-0,05371
64,5000	-0,05860
64,6000	-0,05371
64,7000	-0,05860
64,8000	-0,03906
64,9000	-0,05860
65,0000	-0,04883
65,1000	-0,05371
65,2000	-0,05371
65,3000	-0,04883
65,4000	-0,04883
65,5000	-0,05860
65,6000	-0,04883
65,7000	-0,05860
65,8000	-0,05371
65,9000	-0,05371
66,0000	-0,05371
66,1000	-0,05371
66,2000	-0,05371
66,3000	-0,05860
66,4000	-0,05371
66,5000	-0,05860
66,6000	-0,05371
66,7000	-0,05371
66,8000	-0,04883
66,9000	-0,05371
67,0000	-0,04883
67,1000	-0,05860
67,2000	-0,05371
67,3000	-0,05860
67,4000	-0,05371
67,5000	-0,05860
67,6000	-0,05371
67,7000	-0,05860
67,8000	-0,04883
67,9000	-0,05860
68,0000	-0,05371
68,1000	-0,05860
68,2000	-0,05371
68,3000	-0,05860
68,4000	-0,05371
68,5000	-0,05860
68,6000	-0,05371
68,7000	-0,05860
68,8000	-0,05371
68,9000	-0,05860
69,0000	-0,05371
69,1000	-0,05860
69,2000	-0,05371
69,3000	-0,05860
69,4000	-0,06348
69,5000	-0,05860
69,6000	-0,06348
69,7000	-0,05860
69,8000	-0,05371
69,9000	-0,05860
70,0000	-0,05371
70,1000	-0,05860
70,2000	-0,05371
70,3000	-0,05860
70,4000	-0,05371
70,5000	-0,05860
70,6000	-0,05860
70,7000	-0,05860
70,8000	-0,05371
70,9000	-0,05860
71,0000	-0,05371
71,1000	-0,05860
71,2000	-0,05371
71,3000	-0,05860
71,4000	-0,05371
71,5000	-0,05860
71,6000	-0,05371
71,7000	-0,05860
71,8000	-0,05371
71,9000	-0,05860
72,0000	-0,05371
72,1000	-0,05860
72,2000	-0,05371
72,3000	-0,05860
72,4000	-0,04883
72,5000	-0,05860
72,6000	-0,04883
72,7000	-0,05860
72,8000	-0,05371
72,9000	-0,05860
73,0000	-0,05371
73,1000	-0,05860
73,2000	-0,05371
73,3000	-0,05860
73,4000	-0,05371
73,5000	-0,05860
73,6000	-0,05371
73,7000	-0,05860
73,8000	-0,05371
73,9000	-0,05860
74,0000	-0,05371
74,1000	-0,05860
74,2000	-0,05371
74,3000	-0,05860
74,4000	-0,05371
74,5000	-0,05860
74,6000	-0,05371
74,7000	-0,05860
74,8000	-0,05371
74,9000	-0,05860
75,0000	-0,05860
75,1000	-0,05860
75,2000	-0,05371
75,3000	-0,05860
75,4000	-0,05371
75,5000	-0,05860
75,6000	-0,05860
75,7000	-0,05860
75,8000	-0,05371
75,9000	-0,05860
76,0000	-0,04883
76,1000	-0,05860
76,2000	-0,05371
76,3000	-0,05860
76,4000	-0,05371
76,5000	-0,05860
76,6000	-0,04883
76,7000	-0,05371
76,8000	-0,03906
76,9000	-0,04883
77,0000	-0,03906
77,1000	-0,05371
77,2000	-0,04883
77,3000	-0,05371
77,4000	-0,04883
77,5000	-0,05371
77,6000	-0,04883
77,7000	-0,05860
77,8000	-0,04883
77,9000	-0,05371
78,0000	-0,04883
78,1000	-0,05371
78,2000	-0,04883
78,3000	-0,05860
78,4000	-0,04883
78,5000	-0,05860
78,6000	-0,04883
78,7000	-0,05371
78,8000	-0,05371
78,9000	-0,05371
79,0000	-0,04883
79,1000	-0,05860
79,2000	-0,04883
79,3000	-0,05860
79,4000	-0,05371
79,5000	-0,05860
79,6000	-0,05371
79,7000	-0,05860
79,8000	-0,04883
79,9000	-0,05860
80,0000	-0,05371
80,1000	-0,05860
80,2000	-0,05371
80,3000	-0,04883
80,4000	-0,03906
80,5000	-0,04883
80,6000	-0,04395
80,7000	-0,05371
80,8000	-0,04883
80,9000	-0,05860
81,0000	-0,04883
81,1000	-0,05371
81,2000	-0,04883
81,3000	-0,05371
81,4000	-0,04883
81,5000	-0,05860
81,6000	-0,04883
81,7000	-0,05860
81,8000	-0,04883
81,9000	-0,05371
82,0000	-0,05371
82,1000	-0,05860
82,2000	-0,05371
82,3000	-0,05860
82,4000	-0,05371
82,5000	-0,05860
82,6000	-0,05371
82,7000	-0,05860
82,8000	-0,04883
82,9000	-0,05860
83,0000	-0,05371
