Tempo ( s )	Pressione ( kPa )
40.2000	0.86917
40.3000	0.85940
40.4000	0.86917
40.5000	0.85940
40.6000	0.86917
40.7000	0.85940
40.8000	0.86428
40.9000	0.85940
41.0000	0.85940
41.1000	0.85940
41.2000	0.86428
41.3000	0.85940
41.4000	0.86428
41.5000	0.85940
41.6000	0.86428
41.7000	0.85940
41.8000	0.85940
41.9000	0.85940
42.0000	0.86428
42.1000	0.85940
42.2000	0.85940
42.3000	0.85940
42.4000	0.85940
42.5000	0.85940
42.6000	0.86428
42.7000	0.85940
42.8000	0.86428
42.9000	0.85940
43.0000	0.85452
43.1000	0.85940
43.2000	0.86428
43.3000	0.85940
43.4000	0.85940
43.5000	0.85940
43.6000	0.85940
43.7000	0.85940
43.8000	0.85940
43.9000	0.85940
44.0000	0.86428
44.1000	0.85940
44.2000	0.85452
44.3000	0.85940
44.4000	0.85452
44.5000	0.84964
44.6000	0.85452
44.7000	0.84964
44.8000	0.84964
44.9000	0.84475
45.0000	0.84964
45.1000	0.84475
45.2000	0.84964
45.3000	0.83987
45.4000	0.84964
45.5000	0.84475
45.6000	0.84964
45.7000	0.84475
45.8000	0.84475
45.9000	0.83987
46.0000	0.84964
46.1000	0.83987
46.2000	0.84964
46.3000	0.83987
46.4000	0.84964
46.5000	0.84475
46.6000	0.84964
46.7000	0.84475
46.8000	0.84475
46.9000	0.83987
47.0000	0.83499
47.1000	0.83987
47.2000	0.83987
47.3000	0.83987
47.4000	0.83987
47.5000	0.83987
47.6000	0.83987
47.7000	0.83987
47.8000	0.84475
47.9000	0.83987
48.0000	0.84475
48.1000	0.83987
48.2000	0.83499
48.3000	0.83987
48.4000	0.83987
48.5000	0.83987
48.6000	0.83987
48.7000	0.83987
48.8000	0.83987
48.9000	0.83987
49.0000	0.83987
49.1000	0.83987
49.2000	0.83987
49.3000	0.83987
49.4000	0.83987
49.5000	0.83987
49.6000	0.83499
49.7000	0.83987
49.8000	0.83499
49.9000	0.83987
50.0000	0.83499
50.1000	0.83987
50.2000	0.83987
50.3000	0.83987
50.4000	0.83499
50.5000	0.83987
50.6000	0.83987
50.7000	0.83987
50.8000	0.83499
50.9000	0.83987
51.0000	0.83499
51.1000	0.83987
51.2000	0.83499
51.3000	0.83987
51.4000	0.83499
51.5000	0.83987
51.6000	0.83499
51.7000	0.83987
51.8000	0.83499
51.9000	0.83987
52.0000	0.83499
52.1000	0.83987
52.2000	0.83499
52.3000	0.83987
52.4000	0.83499
52.5000	0.83987
52.6000	0.83499
52.7000	0.83010
52.8000	0.83499
52.9000	0.83987
53.0000	0.83499
53.1000	0.83987
53.2000	0.83499
53.3000	0.83987
53.4000	0.83499
53.5000	0.83010
53.6000	0.83499
53.7000	0.83987
53.8000	0.83499
53.9000	0.83010
54.0000	0.83010
54.1000	0.83010
54.2000	0.83499
54.3000	0.83010
54.4000	0.83499
54.5000	0.82522
54.6000	0.82034
54.7000	0.80569
54.8000	0.82034
54.9000	0.81057
55.0000	0.32716
55.1000	0.00000
55.2000	-0.01465
55.3000	0.00000
55.4000	0.00000
55.5000	0.00000
55.6000	0.00000
55.7000	0.00000
55.8000	0.00000
55.9000	0.00000
56.0000	0.00488
56.1000	0.00000
56.2000	0.00000
56.3000	0.00000
56.4000	0.00000
56.5000	0.00000
56.6000	0.00488
56.7000	0.00000
56.8000	0.00000
56.9000	-0.01953
57.0000	-0.02441
57.1000	-0.03418
57.2000	-0.02930
57.3000	-0.04883
57.4000	-0.03906
57.5000	-0.03906
57.6000	-0.03906
57.7000	-0.04883
57.8000	-0.03906
57.9000	-0.04883
58.0000	-0.03906
58.1000	-0.05371
58.2000	-0.05371
58.3000	-0.05860
58.4000	-0.05860
58.5000	-0.05860
58.6000	-0.06348
58.7000	-0.05371
58.8000	-0.06348
58.9000	-0.05860
59.0000	-0.05860
59.1000	-0.05860
59.2000	-0.05860
59.3000	-0.05860
59.4000	-0.05860
59.5000	-0.05860
59.6000	-0.05371
59.7000	-0.05860
59.8000	-0.05371
59.9000	-0.05860
60.0000	-0.05860
60.1000	-0.05860
60.2000	-0.05371
60.3000	-0.05860
60.4000	-0.06348
60.5000	-0.05860
60.6000	-0.05371
60.7000	-0.05860
60.8000	-0.05860
60.9000	-0.05860
61.0000	-0.05371
61.1000	-0.05860
61.2000	-0.05371
61.3000	-0.05860
61.4000	-0.05371
61.5000	-0.05860
61.6000	-0.05371
61.7000	-0.05860
61.8000	-0.05371
61.9000	-0.05860
62.0000	-0.06348
62.1000	-0.05860
62.2000	-0.05371
62.3000	-0.05860
62.4000	-0.05371
62.5000	-0.05860
62.6000	-0.05371
62.7000	-0.05371
62.8000	-0.05860
62.9000	-0.05860
63.0000	-0.05371
63.1000	-0.05860
63.2000	-0.05860
63.3000	-0.05860
63.4000	-0.05371
63.5000	-0.05860
63.6000	-0.05371
63.7000	-0.05860
63.8000	-0.05371
63.9000	-0.05860
64.0000	-0.05371
64.1000	-0.05860
64.2000	-0.06348
64.3000	-0.05860
64.4000	-0.05371
64.5000	-0.05860
64.6000	-0.06348
64.7000	-0.05860
64.8000	-0.06348
64.9000	-0.05860
65.0000	-0.05371
65.1000	-0.05860
65.2000	-0.05371
65.3000	-0.05860
65.4000	-0.04883
65.5000	-0.05860
65.6000	-0.05860
65.7000	-0.05860
65.8000	-0.05371
65.9000	-0.05860
66.0000	-0.05860
66.1000	-0.05860
66.2000	-0.05371
66.3000	-0.05860
66.4000	-0.05371
66.5000	-0.05860
66.6000	-0.05371
66.7000	-0.05860
66.8000	-0.05860
66.9000	-0.05860
67.0000	-0.04883
67.1000	-0.05860
67.2000	-0.05371
67.3000	-0.05860
67.4000	-0.05860
67.5000	-0.05860
67.6000	-0.05860
67.7000	-0.05860
67.8000	-0.05371
67.9000	-0.05860
68.0000	-0.04883
68.1000	-0.05860
68.2000	-0.05371
68.3000	-0.05860
68.4000	-0.05371
68.5000	-0.05860
68.6000	-0.05371
68.7000	-0.05371
68.8000	-0.05371
68.9000	-0.05860
69.0000	-0.04883
69.1000	-0.05371
69.2000	-0.05371
69.3000	-0.05860
69.4000	-0.05860
69.5000	-0.05860
69.6000	-0.04883
69.7000	-0.05860
69.8000	-0.05371
69.9000	-0.05860
70.0000	-0.05371
70.1000	-0.05860
70.2000	-0.05371
70.3000	-0.05860
70.4000	-0.05371
70.5000	-0.05860
70.6000	-0.05371
70.7000	-0.05860
70.8000	-0.05371
70.9000	-0.05860
71.0000	-0.04883
71.1000	-0.05860
71.2000	-0.05860
71.3000	-0.05860
71.4000	-0.05371
71.5000	-0.05860
71.6000	-0.04883
71.7000	-0.05860
71.8000	-0.05371
71.9000	-0.05860
72.0000	-0.05371
72.1000	-0.05860
72.2000	-0.05371
72.3000	-0.05860
72.4000	-0.05371
72.5000	-0.05860
72.6000	-0.04883
72.7000	-0.05860
72.8000	-0.05371
72.9000	-0.05371
73.0000	-0.05371
73.1000	-0.05860
73.2000	-0.04883
73.3000	-0.05371
73.4000	-0.04883
73.5000	-0.05371
73.6000	-0.05371
73.7000	-0.05860
73.8000	-0.05371
73.9000	-0.05371
74.0000	-0.04883
74.1000	-0.05860
74.2000	-0.05371
74.3000	-0.05860
74.4000	-0.05371
74.5000	-0.05860
74.6000	-0.04883
74.7000	-0.05860
74.8000	-0.05371
74.9000	-0.05860
75.0000	-0.05860
75.1000	-0.05860
75.2000	-0.06348
75.3000	-0.05860
75.4000	-0.05860
75.5000	-0.05860
75.6000	-0.05371
75.7000	-0.05860
75.8000	-0.05371
75.9000	-0.05860
76.0000	-0.04883
76.1000	-0.05860
76.2000	-0.05371
76.3000	-0.05860
76.4000	-0.05371
76.5000	-0.05860
76.6000	-0.05371
76.7000	-0.05860
76.8000	-0.05371
76.9000	-0.05860
77.0000	-0.04883
77.1000	-0.05860
77.2000	-0.05371
77.3000	-0.05860
77.4000	-0.04883
77.5000	-0.05860
77.6000	-0.05371
77.7000	-0.05860
77.8000	-0.04883
77.9000	-0.05860
78.0000	-0.03906
78.1000	-0.03906
78.2000	-0.03906
78.3000	-0.05371
78.4000	-0.04883
78.5000	-0.05860
78.6000	-0.04883
78.7000	-0.05860
78.8000	-0.04883
78.9000	-0.05860
79.0000	-0.05371
79.1000	-0.05860
79.2000	-0.03906
79.3000	-0.04883
79.4000	-0.04395
79.5000	-0.04883
79.6000	-0.04395
79.7000	-0.05371
79.8000	-0.05371
79.9000	-0.05860
80.0000	-0.05371
80.1000	-0.05860
80.2000	-0.05371
80.3000	-0.05860
80.4000	-0.04883
80.5000	-0.01953
80.6000	-0.01465
80.7000	-0.02930
80.8000	-0.03418
80.9000	-0.03906
81.0000	-0.03906
81.1000	-0.04883
81.2000	-0.04883
81.3000	-0.05860
81.4000	-0.05860
81.5000	-0.05860
81.6000	-0.05860
81.7000	-0.05860
81.8000	-0.04883
81.9000	-0.05860
82.0000	-0.04883
82.1000	-0.05860
82.2000	-0.04883
82.3000	-0.05860
82.4000	-0.05371
82.5000	-0.05371
82.6000	-0.04883
82.7000	-0.05860
82.8000	-0.04883
82.9000	-0.05371
83.0000	-0.04883
83.1000	-0.05860
83.2000	-0.05371
83.3000	-0.05371
83.4000	-0.04883
83.5000	-0.05371
83.6000	-0.04883
83.7000	-0.05860
83.8000	-0.04883
83.9000	-0.05371
84.0000	-0.05371
84.1000	-0.05371
84.2000	-0.04883
84.3000	-0.05371
84.4000	-0.04883
84.5000	-0.05371
84.6000	-0.04883
84.7000	-0.05860
84.8000	-0.04883
84.9000	-0.05371
85.0000	-0.04883
85.1000	-0.05371
85.2000	-0.04883
85.3000	-0.05371
