Pressione, Can A, Raccolta #3
Tempo ( s )	Pressione ( kPa )
63,3000	1,95318
63,4000	1,95318
63,5000	1,95318
63,6000	1,94830
63,7000	1,94342
63,8000	1,94830
63,9000	1,94342
64,0000	1,93854
64,1000	1,94342
64,2000	1,93854
64,3000	1,93854
64,4000	1,93854
64,5000	1,93365
64,6000	1,93365
64,7000	1,93365
64,8000	1,93365
64,9000	1,93365
65,0000	1,93365
65,1000	1,93365
65,2000	1,93365
65,3000	1,92389
65,4000	1,92877
65,5000	1,92389
65,6000	1,92877
65,7000	1,92389
65,8000	1,92877
65,9000	1,92389
66,0000	1,92877
66,1000	1,92389
66,2000	1,92389
66,3000	1,91900
66,4000	1,92389
66,5000	1,92389
66,6000	1,91900
66,7000	1,91412
66,8000	1,91900
66,9000	1,91412
67,0000	1,91900
67,1000	1,91412
67,2000	1,91900
67,3000	1,91412
67,4000	1,91412
67,5000	1,91412
67,6000	1,91412
67,7000	1,91412
67,8000	1,91412
67,9000	1,91412
68,0000	1,91412
68,1000	1,91412
68,2000	1,91412
68,3000	1,90435
68,4000	1,91412
68,5000	1,91412
68,6000	1,91412
68,7000	1,90435
68,8000	1,90924
68,9000	1,90435
69,0000	1,90924
69,1000	1,90435
69,2000	1,90924
69,3000	1,90435
69,4000	1,90435
69,5000	1,89947
69,6000	1,90435
69,7000	1,90435
69,8000	1,90435
69,9000	1,89947
70,0000	1,89947
70,1000	1,90435
70,2000	1,89947
70,3000	1,89947
70,4000	1,89947
70,5000	1,90435
70,6000	1,89947
70,7000	1,89947
70,8000	1,89459
70,9000	1,89459
71,0000	1,89947
71,1000	1,89459
71,2000	1,89947
71,3000	1,89459
71,4000	1,89947
71,5000	1,89459
71,6000	1,89459
71,7000	1,89459
71,8000	1,89459
71,9000	1,89459
72,0000	1,89459
72,1000	1,88971
72,2000	1,89459
72,3000	1,89459
72,4000	1,89459
72,5000	1,88971
72,6000	1,89459
72,7000	1,88971
72,8000	1,89459
72,9000	1,88971
73,0000	1,89459
73,1000	1,89459
73,2000	1,89459
73,3000	1,89459
73,4000	1,89459
73,5000	1,89459
73,6000	1,89947
73,7000	1,90435
73,8000	1,90435
73,9000	1,89459
74,0000	1,89947
74,1000	1,89947
74,2000	1,89947
74,3000	1,90435
74,4000	1,89947
74,5000	1,89459
74,6000	1,89947
74,7000	1,89459
74,8000	1,89947
74,9000	1,89459
75,0000	1,89947
75,1000	1,89459
75,2000	1,89947
75,3000	1,89459
75,4000	1,89459
75,5000	1,89459
75,6000	1,89459
75,7000	1,89459
75,8000	1,89459
75,9000	1,89459
76,0000	1,89459
76,1000	1,89459
76,2000	1,88971
76,3000	1,89459
76,4000	1,89459
76,5000	1,89459
76,6000	1,89459
76,7000	1,88971
76,8000	1,89459
76,9000	1,88971
77,0000	1,89459
77,1000	1,88971
77,2000	1,89459
77,3000	1,88971
77,4000	1,89459
77,5000	1,88482
77,6000	1,89459
77,7000	1,88971
77,8000	1,89459
77,9000	1,88482
78,0000	1,88971
78,1000	1,88971
78,2000	1,89459
78,3000	1,88482
78,4000	1,88971
78,5000	1,88482
78,6000	1,89459
78,7000	1,88482
78,8000	1,88971
78,9000	1,88482
79,0000	1,88971
79,1000	1,88482
79,2000	1,88482
79,3000	1,88482
79,4000	1,88971
79,5000	1,88482
79,6000	1,88971
79,7000	1,88482
79,8000	1,88971
79,9000	1,88482
80,0000	1,89459
80,1000	1,88482
80,2000	1,88482
80,3000	1,88482
80,4000	1,88971
80,5000	1,88482
80,6000	1,88971
80,7000	1,88482
80,8000	1,88971
80,9000	1,88482
81,0000	1,88482
81,1000	1,88482
81,2000	1,88971
81,3000	1,88482
81,4000	1,88482
81,5000	1,88482
81,6000	1,88482
81,7000	1,88482
81,8000	1,88971
81,9000	1,88482
82,0000	1,88971
82,1000	1,88482
82,2000	1,88482
82,3000	1,88482
82,4000	1,88482
82,5000	1,87994
82,6000	1,88971
82,7000	1,88482
82,8000	1,88482
82,9000	1,88482
83,0000	1,88482
83,1000	1,88482
83,2000	1,88482
83,3000	1,88482
