Pressione, Can A, Raccolta #7
Tempo ( s )	Pressione ( kPa )
108,1000	5,17106
108,2000	5,17106
108,3000	5,17106
108,4000	5,17106
108,5000	5,17106
108,6000	5,17594
108,7000	5,17106
108,8000	5,17106
108,9000	5,17106
109,0000	5,17106
109,1000	5,17106
109,2000	5,17106
109,3000	5,17106
109,4000	5,17106
109,5000	5,17106
109,6000	5,17594
109,7000	5,17106
109,8000	5,17106
109,9000	5,17106
110,0000	5,17594
110,1000	5,17106
110,2000	5,17106
110,3000	5,17594
110,4000	5,17106
110,5000	5,17106
110,6000	5,17594
110,7000	5,17106
110,8000	5,17106
110,9000	5,17106
111,0000	5,17106
111,1000	5,17594
111,2000	5,17106
111,3000	5,17106
111,4000	5,17106
111,5000	5,17106
111,6000	5,17106
111,7000	5,17594
111,8000	5,17106
111,9000	5,17106
112,0000	5,17106
112,1000	5,17106
112,2000	5,17106
112,3000	5,17106
112,4000	5,17106
112,5000	5,17106
112,6000	5,17106
112,7000	5,17106
112,8000	5,17106
112,9000	5,17106
113,0000	5,17106
113,1000	5,17106
113,2000	5,17106
113,3000	5,17106
113,4000	5,17106
113,5000	5,17106
113,6000	5,17106
113,7000	5,17106
113,8000	5,17106
113,9000	5,17106
114,0000	5,17106
114,1000	5,17106
114,2000	5,17594
114,3000	5,17106
114,4000	5,17106
114,5000	5,17106
114,6000	5,17106
114,7000	5,17594
114,8000	5,17106
114,9000	5,17106
115,0000	5,17106
115,1000	5,17106
115,2000	5,17594
115,3000	5,17106
115,4000	5,17106
115,5000	5,17106
115,6000	5,17106
115,7000	5,17106
115,8000	5,17106
115,9000	5,17106
116,0000	5,17106
116,1000	5,17594
116,2000	5,17106
116,3000	5,17106
116,4000	5,17106
116,5000	5,17106
116,6000	5,18082
116,7000	5,17106
116,8000	5,17106
116,9000	5,17106
117,0000	5,17106
117,1000	5,17594
117,2000	5,17106
117,3000	5,17106
117,4000	5,17106
117,5000	5,17594
117,6000	5,17594
117,7000	5,17106
117,8000	5,17106
117,9000	5,17106
118,0000	5,17106
118,1000	5,17106
118,2000	5,17106
118,3000	5,17594
118,4000	5,17594
118,5000	5,17106
118,6000	5,17106
118,7000	5,17106
118,8000	5,17106
118,9000	5,17106
119,0000	5,17106
119,1000	5,17106
119,2000	5,17106
119,3000	5,17106
119,4000	5,17106
119,5000	5,17594
119,6000	5,17106
119,7000	5,17106
119,8000	5,17106
119,9000	5,17106
120,0000	5,17106
120,1000	5,17106
120,2000	5,17106
120,3000	5,17106
120,4000	5,17106
120,5000	5,17106
120,6000	5,17106
120,7000	5,17594
120,8000	5,17106
120,9000	5,17106
121,0000	5,17594
121,1000	5,17106
121,2000	5,17106
