Temperatura. Can B ( C )	Posizione. Can 1 e 2 ( m )
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.41032	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.27038	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.27038	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.27038	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.27038	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.27038	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.27038	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.41032	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.27038	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.31699	1.25000E-4
27.41032	1.87500E-4
27.27038	1.87500E-4
27.41032	1.87500E-4
27.27038	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.41032	1.87500E-4
27.27038	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.27038	1.87500E-4
27.31699	1.87500E-4
27.27038	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.27038	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.27038	1.87500E-4
27.31699	1.87500E-4
27.27038	1.87500E-4
27.41032	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.41032	1.87500E-4
27.27038	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.27038	1.87500E-4
27.41032	1.87500E-4
27.27038	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	1.87500E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.36364	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.41032	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.27038	2.50000E-4
27.31699	2.50000E-4
27.27038	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.41032	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.41032	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.41032	2.50000E-4
27.31699	2.50000E-4
27.41032	2.50000E-4
