Posizione, Can 1 e 2, Raccolta #13
Tempo ( s )	Posizione ( m )
26,8000	-8,12500E-4
26,9000	-8,12500E-4
27,0000	-8,12500E-4
27,1000	-8,12500E-4
27,2000	-8,12500E-4
27,3000	-8,12500E-4
27,4000	-8,12500E-4
27,5000	-8,12500E-4
27,6000	-8,12500E-4
27,7000	-8,12500E-4
27,8000	-8,12500E-4
27,9000	-8,12500E-4
28,0000	-8,12500E-4
28,1000	-8,12500E-4
28,2000	-8,12500E-4
28,3000	-8,75000E-4
28,4000	-8,75000E-4
28,5000	-8,75000E-4
28,6000	-8,75000E-4
28,7000	-8,75000E-4
28,8000	-8,75000E-4
28,9000	-8,75000E-4
29,0000	-8,75000E-4
29,1000	-8,75000E-4
29,2000	-8,75000E-4
29,3000	-8,75000E-4
29,4000	-8,75000E-4
29,5000	-8,75000E-4
29,6000	-8,75000E-4
29,7000	-8,75000E-4
29,8000	-8,75000E-4
29,9000	-8,75000E-4
30,0000	-8,75000E-4
30,1000	-8,75000E-4
30,2000	-8,75000E-4
30,3000	-8,75000E-4
30,4000	-8,75000E-4
30,5000	-9,37500E-4
30,6000	-9,37500E-4
30,7000	-9,37500E-4
30,8000	-9,37500E-4
30,9000	-9,37500E-4
31,0000	-9,37500E-4
31,1000	-9,37500E-4
31,2000	-9,37500E-4
31,3000	-9,37500E-4
31,4000	-9,37500E-4
31,5000	-9,37500E-4
31,6000	-9,37500E-4
31,7000	-9,37500E-4
31,8000	-9,37500E-4
31,9000	-9,37500E-4
32,0000	-9,37500E-4
32,1000	-9,37500E-4
32,2000	-9,37500E-4
32,3000	-9,37500E-4
32,4000	-9,37500E-4
32,5000	-9,37500E-4
32,6000	-9,37500E-4
32,7000	-0,00100
32,8000	-0,00100
32,9000	-0,00100
33,0000	-0,00100
33,1000	-0,00100
33,2000	-0,00100
33,3000	-0,00100
33,4000	-0,00100
33,5000	-0,00100
33,6000	-0,00100
33,7000	-0,00100
33,8000	-0,00100
33,9000	-0,00100
34,0000	-0,00100
34,1000	-0,00100
34,2000	-0,00100
34,3000	-0,00100
34,4000	-0,00100
34,5000	-0,00100
34,6000	-0,00100
34,7000	-0,00100
34,8000	-0,00100
34,9000	-0,00100
35,0000	-0,00100
35,1000	-0,00100
35,2000	-0,00106
35,3000	-0,00106
35,4000	-0,00106
35,5000	-0,00106
35,6000	-0,00106
35,7000	-0,00106
35,8000	-0,00106
35,9000	-0,00106
36,0000	-0,00106
36,1000	-0,00106
36,2000	-0,00106
36,3000	-0,00106
36,4000	-0,00106
36,5000	-0,00106
36,6000	-0,00106
36,7000	-0,00106
36,8000	-0,00106
36,9000	-0,00106
37,0000	-0,00106
37,1000	-0,00112
37,2000	-0,00112
37,3000	-0,00112
37,4000	-0,00112
37,5000	-0,00112
37,6000	-0,00112
37,7000	-0,00112
37,8000	-0,00112
37,9000	-0,00112
38,0000	-0,00112
38,1000	-0,00112
38,2000	-0,00112
38,3000	-0,00112
38,4000	-0,00112
38,5000	-0,00112
38,6000	-0,00112
38,7000	-0,00112
38,8000	-0,00112
38,9000	-0,00112
39,0000	-0,00112
39,1000	-0,00119
39,2000	-0,00119
39,3000	-0,00119
39,4000	-0,00119
39,5000	-0,00119
39,6000	-0,00119
39,7000	-0,00119
39,8000	-0,00119
39,9000	-0,00119
40,0000	-0,00119
40,1000	-0,00119
40,2000	-0,00119
40,3000	-0,00119
40,4000	-0,00119
40,5000	-0,00119
40,6000	-0,00119
40,7000	-0,00119
40,8000	-0,00119
40,9000	-0,00119
41,0000	-0,00119
41,1000	-0,00119
41,2000	-0,00119
41,3000	-0,00125
41,4000	-0,00125
41,5000	-0,00125
41,6000	-0,00125
41,7000	-0,00125
41,8000	-0,00125
41,9000	-0,00125
42,0000	-0,00125
42,1000	-0,00125
42,2000	-0,00125
