Temperatura, Can B, Raccolta #2
Tempo ( s )	Temperatura ( °C )
64,3000	44,99844
64,4000	44,93217
64,5000	45,06483
64,6000	44,93217
64,7000	44,93217
64,8000	44,93217
64,9000	44,93217
65,0000	44,93217
65,1000	44,93217
65,2000	44,79995
65,3000	44,93217
65,4000	44,79995
65,5000	44,86600
65,6000	44,66816
65,7000	44,73400
65,8000	44,73400
65,9000	44,79995
66,0000	44,66816
66,1000	44,66816
66,2000	44,66816
66,3000	44,66816
66,4000	44,66816
66,5000	44,66816
66,6000	44,53681
66,7000	44,60243
66,8000	44,53681
66,9000	44,60243
67,0000	44,53681
67,1000	44,53681
67,2000	44,40588
67,3000	44,53681
67,4000	44,40588
67,5000	44,40588
67,6000	44,40588
67,7000	44,47129
67,8000	44,40588
67,9000	44,40588
68,0000	44,27538
68,1000	44,34058
68,2000	44,27538
68,3000	44,34058
68,4000	44,27538
68,5000	44,34058
68,6000	44,27538
68,7000	44,27538
68,8000	44,14529
68,9000	44,14529
69,0000	44,14529
69,1000	44,14529
69,2000	44,14529
69,3000	44,14529
69,4000	44,14529
69,5000	44,14529
69,6000	44,01563
69,7000	44,08041
69,8000	44,01563
69,9000	44,08041
70,0000	44,01563
70,1000	44,01563
70,2000	43,88637
70,3000	43,95095
70,4000	43,88637
70,5000	43,88637
70,6000	43,88637
70,7000	43,88637
70,8000	43,75752
70,9000	43,82190
71,0000	43,82190
71,1000	43,82190
71,2000	43,75752
71,3000	43,82190
71,4000	43,75752
71,5000	43,75752
71,6000	43,75752
71,7000	43,75752
71,8000	43,62908
71,9000	43,69325
72,0000	43,62908
72,1000	43,62908
72,2000	43,56501
72,3000	43,56501
72,4000	43,50104
72,5000	43,56501
72,6000	43,50104
72,7000	43,56501
72,8000	43,50104
72,9000	43,50104
73,0000	43,37340
73,1000	43,43717
73,2000	43,37340
73,3000	43,50104
73,4000	43,37340
73,5000	43,37340
73,6000	43,37340
73,7000	43,37340
73,8000	43,37340
73,9000	43,37340
74,0000	43,24615
74,1000	43,30973
74,2000	43,24615
74,3000	43,24615
74,4000	43,18267
74,5000	43,24615
74,6000	43,24615
74,7000	43,11929
74,8000	43,11929
74,9000	43,24615
75,0000	43,11929
75,1000	43,11929
75,2000	43,11929
75,3000	43,11929
75,4000	43,05601
75,5000	43,05601
75,6000	42,99282
75,7000	42,99282
75,8000	42,99282
75,9000	43,05601
76,0000	42,99282
76,1000	42,99282
76,2000	42,86674
76,3000	42,99282
76,4000	42,86674
76,5000	42,86674
76,6000	42,86674
76,7000	42,86674
76,8000	42,86674
76,9000	42,86674
77,0000	42,74103
77,1000	42,80384
77,2000	42,74103
77,3000	42,80384
77,4000	42,67832
77,5000	42,74103
77,6000	42,74103
77,7000	42,80384
77,8000	42,74103
77,9000	42,74103
78,0000	42,61571
78,1000	42,61571
78,2000	42,61571
78,3000	42,61571
78,4000	42,61571
78,5000	42,61571
78,6000	42,61571
78,7000	42,55319
